mode,scenario,graphics,pause_ms,trials,delivered,readable_stalls,other_failures,restored,key_samples,p50_us,p95_us,max_us,drained_bytes,frames
raw,normal,true,0,20,20,0,0,20,60,63,6574,7586,16796420,120
raw,resize-key,true,0,20,20,0,0,20,20,59,76,83,9802120,120
raw,key-resize,true,0,20,20,0,0,20,20,21382,21600,21778,4342444,62
raw,coincident,true,0,20,20,0,0,20,20,10596,10899,11340,4482468,64
raw,slow-drain,true,0,20,20,0,0,20,20,2592,3850,3913,5743080,80
raw,burst,true,0,20,20,0,0,20,60,4174,7272,7551,32471404,232
raw,storm,true,0,20,20,0,0,20,60,60,786,885,16868925,116
crossterm,normal,true,0,20,20,0,0,20,60,66,6216,7276,16796420,120
crossterm,resize-key,true,0,20,20,0,0,20,20,50,74,135,9802120,120
crossterm,key-resize,true,0,20,20,0,0,20,20,21480,21806,21815,4902540,70
crossterm,coincident,true,0,20,0,20,0,20,0,0,0,0,36406620,520
crossterm,slow-drain,true,0,20,20,0,0,20,20,3648,3859,3869,5743080,80
crossterm,burst,true,0,20,20,0,0,20,60,1524,7512,8706,31631661,226
crossterm,storm,true,0,20,20,0,0,20,60,56,89,343,16917952,117
context,normal,true,0,20,20,0,0,20,60,2668,7195,7402,18895745,135
context,resize-key,true,0,20,20,0,0,20,20,79,698,759,10012159,123
context,key-resize,true,0,20,20,0,0,20,20,24263,25471,27029,5602660,80
context,coincident,true,0,20,0,20,0,20,0,0,0,0,38856754,555
context,slow-drain,true,0,20,20,0,0,20,20,48,63,76,5743080,80
context,burst,true,0,20,20,0,0,20,60,212,7372,8410,39049297,279
context,storm,true,0,20,20,0,0,20,60,1315,9744,9969,17232865,120
raw,normal,true,150,20,20,0,0,20,60,51,6355,7531,16796420,120
raw,resize-key,true,150,20,20,0,0,20,20,57,447,956,9662104,118
raw,key-resize,true,150,20,20,0,0,20,20,21451,21522,21712,4342444,62
raw,coincident,true,150,20,20,0,0,20,20,10730,11015,11036,4482468,64
raw,slow-drain,true,150,20,20,0,0,20,20,78422,79470,80444,5743080,80
raw,burst,true,150,20,20,0,0,20,60,1533,7419,8426,31211791,223
raw,storm,true,150,20,20,0,0,20,60,61,863,926,16663765,116
crossterm,normal,true,150,20,20,0,0,20,60,63,6335,7869,16516508,118
crossterm,resize-key,true,150,20,20,0,0,20,20,64,173,181,9802120,120
crossterm,key-resize,true,150,20,20,0,0,20,20,21433,21943,22487,4762516,68
crossterm,coincident,true,150,20,0,20,0,20,0,0,0,0,36056563,515
crossterm,slow-drain,true,150,20,0,20,0,20,0,0,0,0,29032115,555
crossterm,burst,true,150,20,20,0,0,20,60,1553,7506,7580,31351747,224
crossterm,storm,true,150,20,20,0,0,20,60,66,94,178,17517311,120
